SupplierID,CategoryID,SupplierName,SupplierLocation,SupplierPhone,SupplierMailIDs
SUPLR-001,CATOID00XX1,Ronald Ford,New Robert,687-786-3505x454,ronaldford36@gmail.com
SUPLR-002,CATOID00XX2,Lee Sloan,Williamsfort,845.496.1986x82336,dairy@leesloan38@yahoo.com
SUPLR-003,CATOID00XX3,Joseph Martin,Robertfort,936-813-9066,josephmartin16@hotmail.com
SUPLR-004,CATOID00XX4,Mr. Richard Haas,Jacksonfort,(837)725-0690x8370,mrrichardhaas02@outlook.com
SUPLR-005,CATOID00XX5,Andrew Chen,Johnstad,(383)350-0161,andrewchen51@hotmail.com
SUPLR-006,CATOID00XX6,Jeffrey Shea,Aprilland,+1-337-440-3416x2113,jeffreyshea49@gmail.com
SUPLR-007,CATOID00XX7,Kenneth George,Cooperfort,+1-827-402-4715x937,kennethgeorge85@yahoo.com
SUPLR-008,CATOID00XX8,Chad Flores,South Johnhaven,+1-741-294-0096x99384,chadflores20@gmail.com
SUPLR-009,CATOID00XX9,Timothy Reyes,Benjaminside,998-565-3664x6008,timothyreyes45@yahoo.com
SUPLR-010,CATOID00XX10,Jonathan Smith,Vickiestad,001-610-680-6165x17466,jonathansmith07@outlook.com
SUPLR-011,CATOID00XX11,Sean Dodson,South Bryanmouth,-6606,seandodson89@gmail.com
SUPLR-012,CATOID00XX12,Joel Burns,Michelleland,001-989-235-5043x7947,joelburns16@yahoo.com
SUPLR-013,CATOID00XX13,Justin Rogers,Kramertown,534.642.6684x753,justinrogers58@gmail.com
SUPLR-014,CATOID00XX14,Mark Galvan,Whiteside,380-305-0058,markgalvan70@outlook.com
SUPLR-015,CATOID00XX15,Kelly Maddox,Hudsonborough,+1-406-703-5273x4676,kellymaddox23@hotmail.com
SUPLR-016,CATOID00XX16,Adam Cobb,Lake Michaelport,-7308,adamcobb31@yahoo.com
SUPLR-017,CATOID00XX17,Ryan Buck,Mendezbury,(347)240-1005,ryanbuck94@outlook.com
SUPLR-018,CATOID00XX18,Tommy Owens,Port Dawn,545-223-1931,tommyowens60@gmail.com
SUPLR-019,CATOID00XX19,John Brown,Port Scottburgh,(917)317-7755x25162,johnbrown82@yahoo.com
SUPLR-020,CATOID00XX20,Jonathan Lawrence,Robertmouth,(842)792-3390x6986,jonathanlawrence36@gmail.com
SUPLR-021,CATOID00XX21,Larry Estrada,Lake Sarahburgh,904.221.9409x9643,larryestrada11@yahoo.com
SUPLR-022,CATOID00XX22,Michael Valenzuela,Smithburgh,535.345.5807x7516,michaelvalenzuela05@hotmail.com
SUPLR-023,CATOID00XX23,Thomas Melendez,South Jonathanstad,385-930-8158,thomasmelendez76@yahoo.com
SUPLR-024,CATOID00XX24,Jaime Torres,North Michael,001-235-847-4985,jaimetorres43@hotmail.com
SUPLR-025,CATOID00XX25,William Scott,Sherylmouth,739.997.7080,williamscott49@outlook.com
SUPLR-026,CATOID00XX26,John Moore,Jenniferside,+1-969-894-3796x20715,johnmoore80@hotmail.com
SUPLR-027,CATOID00XX27,John Bennett,South Valerieton,858-482-1452x117,johnbennett17@yahoo.com
SUPLR-028,CATOID00XX28,William Adams,Michaelburgh,+1-487-660-4347x374,williamadams62@gmail.com
SUPLR-029,CATOID00XX29,Scott Arnold,South Carrie,6564160539,scottarnold15@outlook.com
SUPLR-030,CATOID00XX30,Tristan Davis,Vincentmouth,(397)590-2104x24397,tristandavis48@hotmail.com
